Slope,Altitude,eventID,occurrenceID,basisOfRecord,Kingdom,Class,Order,scientificName,Commonname,taxonRank,individualCount,organismQuantity,BMWP
South,High,S1P_B,S1P_B2,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,5,
South,High,S1P_D,S1P_D3,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,5,
South,High,S1P_G,S1P_G2,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,5,
South,High,S1P_H,S1P_H4,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,5,
South,Medium,S2P_D,S2P_D3,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,10,
South,Medium,S2P_E,S2P_E2,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,3,
South,Medium,S2P_F,S2P_F3,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,15,
South,Medium,S2P_G,S2P_G4,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,3,
South,Medium,S2P_H,S2P_H3,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,20,
South,Medium,S2P_I,S2P_I2,Humanobservation,Plantae,Plantae,Rosales,Potentilla erecta,Tormentil,Species,1,15,
South,Medium,S2P_C,S2P_C3,Humanobservation,Plantae,Plantae,Primulaceae,Primula vulgaris,Primrose,Species,1,10,
North,Low,N3P_A,N3P_A1,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,100,
North,Low,N3P_B,N3P_B3,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,100,
North,Low,N3P_C,N3P_C1,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,100,
North,Low,N3P_D,N3P_D2,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,100,
North,Low,N3P_E,N3P_E1,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,100,
North,Low,N3P_F,N3P_F1,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,100,
North,Low,N3P_G,N3P_G2,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,100,
North,Low,N3P_H,N3P_H1,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,100,
North,Low,N3P_I,N3P_I1,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,100,
North,Low,N3P_J,N3P_J1,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,100,
North,High,N1P_B,N1P_B3,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,5,
North,High,N1P_C,N1P_C3,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,10,
North,High,N1P_D,N1P_D3,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,5,
North,High,N1P_E,N1P_E2,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,10,
North,Medium,N2P_G,N2P_G1,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,5,
North,Medium,N2P_D,N2P_D2,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,10,
North,Medium,N2P_A,N20_A2,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,5,
South,Low,S3P_I,S3P_I1,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,15,
South,High,S1P_C,S1P_C1,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,80,
South,High,S1P_D,S1P_D1,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,15,
South,High,S1P_E,S1P_E1,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,25,
South,High,S1P_F,S1P_F3,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,30,
South,High,S1P_G,S1P_G1,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,5,
South,High,S1P_H,S1P_H1,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,35,
South,Medium,S2P_A,S2P_A1,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,70,
South,Medium,S2P_C,S2P_C1,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,30,
South,Medium,S2P_F,S2P_F2,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,15,
South,Medium,S2P_G,S2P_G3,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,3,
South,Medium,S2P_H,S2P_H4,Humanobservation,Plantae,Plantae,Polypodiales,Pteridium aquilinum,Bracken,Species,1,5,
North,Low,N3P_H,N3P_H2,Humanobservation,Plantae,Plantae,Ranunculales,Ranunculus repens,Creeping_buttercup,Species,1,25,
North,High,N1P_G,N1P_G6,Humanobservation,Plantae,Plantae,Ranunculales,Ranunculus repens,Creeping_buttercup,Species,1,5,
North,High,N1P_H,N1P_H5,Humanobservation,Plantae,Plantae,Ranunculales,Ranunculus repens,Creeping_buttercup,Species,1,5,
North,Low,N3P_C,N3P_C4,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,100,
North,Low,N3P_D,N3P_D3,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,50,
North,Low,N3P_F,N3P_F3,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,40,
North,Low,N3P_G,N3P_G3,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,40,
North,Low,N3P_H,N3P_H3,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,60,
North,Low,N3P_J,N3P_J7,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,60,
North,High,N1P_A,N1P_A3,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,80,
North,High,N1P_B,N1P_B5,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,80,
North,High,N1P_C,N1P_C4,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,90,
North,High,N1P_D,N1P_D5,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,90,
North,High,N1P_F,N1P_F4,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,80,
North,High,N1P_G,N1P_G3,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,50,
North,High,N1P_H,N1P_H6,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,40,
North,High,N1P_I,N1P_I4,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,90,
North,High,N1P_J,N1P_J4,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,90,
North,Medium,N2P_I,N2P_I4,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,90,
North,Medium,N2P_H,N2P_H5,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,90,
North,Medium,N2P_A,N20_A5,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,50,
South,High,S1P_C,S1P_C3,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,20,
South,Medium,S2P_D,S2P_D2,Humanobservation,Plantae,Plantae,Hypnales,Rhytidiadelphus triquetrus,Big_shaggy-moss,Species,1,10,
North,Low,N3P_B,N3P_B1,Humanobservation,Plantae,Plantae,Rosales,Rubus fruticosus,European_blackberry,Species,1,20,
North,Low,N3P_C,N3P_C3,Humanobservation,Plantae,Plantae,Rosales,Rubus fruticosus,European_blackberry,Species,1,10,
North,Low,N3P_E,N3P_E2,Humanobservation,Plantae,Plantae,Rosales,Rubus fruticosus,European_blackberry,Species,1,25,
North,Low,N3P_F,N3P_F2,Humanobservation,Plantae,Plantae,Rosales,Rubus fruticosus,European_blackberry,Species,1,60,
North,Low,N3P_G,N3P_G1,Humanobservation,Plantae,Plantae,Rosales,Rubus fruticosus,European_blackberry,Species,1,33,
North,Low,N3P_H,N3P_H5,Humanobservation,Plantae,Plantae,Rosales,Rubus fruticosus,European_blackberry,Species,1,35,
North,Low,N3P_I,N3P_I2,Humanobservation,Plantae,Plantae,Rosales,Rubus fruticosus,European_blackberry,Species,1,10,
North,Low,N3P_J,N3P_J2,Humanobservation,Plantae,Plantae,Rosales,Rubus fruticosus,European_blackberry,Species,1,33,
North,Low,N3P_J,N3P_J4,Humanobservation,Plantae,Plantae,Rosales,Rubus fruticosus,European_blackberry,Species,1,3,
North,Medium,N2P_D,N2P_D1,Humanobservation,Plantae,Plantae,Rosales,Rubus fruticosus,European_blackberry,Species,1,10,
South,Low,S3P_J,S3P_J2,Humanobservation,Plantae,Plantae,Sphagnales,Sphagnum sp,Sphagnum_moss,Genus,1,5,
North,Low,N3P_C,N3P_C5,Humanobservation,Plantae,Plantae,Lamiales,Teucrium scorodonia,Wood_sage,Species,1,15,
North,Low,N3P_D,N3P_D4,Humanobservation,Plantae,Plantae,Lamiales,Teucrium scorodonia,Wood_sage,Species,1,5,
North,High,N1P_A,N1P_A4,Humanobservation,Plantae,Plantae,Lamiales,Teucrium scorodonia,Wood_sage,Species,1,5,
North,High,N1P_E,N1P_E1,Humanobservation,Plantae,Plantae,Lamiales,Teucrium scorodonia,Wood_sage,Species,1,15,
North,High,N1P_F,N1P_F7,Humanobservation,Plantae,Plantae,Lamiales,Teucrium scorodonia,Wood_sage,Species,1,5,
South,Low,S3P_B,S3P_B1,Humanobservation,Plantae,Plantae,Fabales,Trifolium repens,White_clover,Species,1,85,
South,Low,S3P_C,S3P_C2,Humanobservation,Plantae,Plantae,Fabales,Trifolium repens,White_clover,Species,1,20,
North,Low,N3P_J,N3P_J6,Humanobservation,Plantae,Plantae,Fabales,Ulex europaeus,Gorse,Species,1,10,
South,Low,S3P_A,S3P_A1,Humanobservation,Plantae,Plantae,Rosales,Urtica dioica,Common_nettle,Species,1,15,
South,High,S1P_E,S1P_E3,Humanobservation,Plantae,Plantae,Rosales,Urtica dioica,Common_nettle,Species,1,5,
North,Medium,N2P_E,N2P_E4,Humanobservation,Plantae,Plantae,Malpighiales,Viola palustris,Marsh_violet,Species,1,5,
North,Medium,N2P_C,N2P_C3,Humanobservation,Plantae,Plantae,Malpighiales,Viola palustris,Marsh_violet,Species,1,5,
South,High,S1P_F,S1P_F2,Humanobservation,Plantae,Plantae,Malpighiales,Viola palustris,Marsh_violet,Species,1,8,
South,High,S1P_H,S1P_H2,Humanobservation,Plantae,Plantae,Malpighiales,Viola palustris,Marsh_violet,Species,1,20,
